scrape_time,station_id,station_name,station_nr,address,latitude,longitude,city,state,postal_code,country,fuel_type,price_eur,last_update,station_type,phone,email,status
2025-10-02T14:36:20Z,5849,BP Anif,8030,"Alpenstraße 111, Neu-Anif, Österreich",47.7360627,13.0506141,Neu-Anif,Salzburg,5081,Österreich,Ultimate Super,1.821,2025-10-02T14:36:19Z,BP Station,+435083001301,office@leikermoser.at,open
2025-10-02T14:36:20Z,5849,BP Anif,8030,"Alpenstraße 111, Neu-Anif, Österreich",47.7360627,13.0506141,Neu-Anif,Salzburg,5081,Österreich,Super,1.581,2025-10-02T14:36:19Z,BP Station,+435083001301,office@leikermoser.at,open
2025-10-02T14:36:20Z,5849,BP Anif,8030,"Alpenstraße 111, Neu-Anif, Österreich",47.7360627,13.0506141,Neu-Anif,Salzburg,5081,Österreich,Ultimate Diesel,1.854,2025-10-02T14:36:19Z,BP Station,+435083001301,office@leikermoser.at,open
2025-10-02T14:36:20Z,5849,BP Anif,8030,"Alpenstraße 111, Neu-Anif, Österreich",47.7360627,13.0506141,Neu-Anif,Salzburg,5081,Österreich,Diesel,1.564,2025-10-02T14:36:19Z,BP Station,+435083001301,office@leikermoser.at,open
2025-10-02T14:36:20Z,5849,BP Anif,8030,"Alpenstraße 111, Neu-Anif, Österreich",47.7360627,13.0506141,Neu-Anif,Salzburg,5081,Österreich,AdBlue,1.39,2025-10-02T14:36:19Z,BP Station,+435083001301,office@leikermoser.at,open
2025-10-02T14:36:20Z,5849,BP Anif,8030,"Alpenstraße 111, Neu-Anif, Österreich",47.7360627,13.0506141,Neu-Anif,Salzburg,5081,Österreich,Ladestrom,0.64,2025-10-02T14:36:19Z,BP Station,+435083001301,office@leikermoser.at,open
2025-10-02T14:36:20Z,6275,BP Salzburg Schallmoos,8800,"Sterneckstraße 16, Salzburg, Österreich",47.8080496,13.0531266,Salzburg,Salzburg,5020,Österreich,Ultimate Super,1.829,2025-10-02T14:36:19Z,BP Station,+435083003050,office@leikermoser.at,open
2025-10-02T14:36:20Z,6275,BP Salzburg Schallmoos,8800,"Sterneckstraße 16, Salzburg, Österreich",47.8080496,13.0531266,Salzburg,Salzburg,5020,Österreich,Super,1.589,2025-10-02T14:36:19Z,BP Station,+435083003050,office@leikermoser.at,open
2025-10-02T14:36:20Z,6275,BP Salzburg Schallmoos,8800,"Sterneckstraße 16, Salzburg, Österreich",47.8080496,13.0531266,Salzburg,Salzburg,5020,Österreich,Diesel HVO100,1.768,2025-10-02T14:36:19Z,BP Station,+435083003050,office@leikermoser.at,open
2025-10-02T14:36:20Z,6275,BP Salzburg Schallmoos,8800,"Sterneckstraße 16, Salzburg, Österreich",47.8080496,13.0531266,Salzburg,Salzburg,5020,Österreich,Ultimate Diesel,1.878,2025-10-02T14:36:19Z,BP Station,+435083003050,office@leikermoser.at,open
